is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
1,211.1324447897,472.10649880550005,1995-01-25 00:00:00,1995-01-25 07:48:00,Earth,17.835547118399997,64207.969626172315,Near Earth asteroid orbits similar to that of 2062 Aten,3797849,(2018 BY2),1070.132827102872
1,667.6594134951999,1492.931834393,1995-01-25 00:00:00,1995-01-25 12:14:00,Earth,17.2838534152,62221.8722947351,Near Earth asteroid orbits similar to that of 1221 Amor,3724644,(2015 OL35),1037.0312049122517
0,96.50614695790001,215.7943048444,1995-01-25 00:00:00,1995-01-25 16:01:00,Earth,19.4399963922,69983.98701182389,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3837955,(2019 BA1),1166.3997835303983
0,121.49404079959999,271.6689340891,1995-01-25 00:00:00,1995-01-25 18:52:00,Earth,26.039129705700002,93740.86694038099,An asteroid orbit contained entirely within the orbit of the Eart,3365921,(2007 AM),1562.3477823396831
0,80.2703167283,179.48988477990002,1995-01-25 00:00:00,1995-01-25 14:50:00,Earth,18.068443554,65046.3967943636,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3703539,(2015 AB44),1084.1066132393933
0,27.8326768072,62.2357573367,1995-01-25 00:00:00,1995-01-25 02:57:00,Earth,12.9327582532,46557.9297115466,Near Earth asteroid orbits similar to that of 1221 Amor,3715092,(2015 FW284),775.9654951924434
0,15.295193534400001,34.201092472,1995-01-25 00:00:00,1995-01-25 12:26:00,Earth,6.4970772547000015,23389.478117065897,Near Earth asteroid orbits similar to that of 1221 Amor,3827172,(2018 RC1),389.8246352844316
1,211.1324447897,472.10649880550005,1995-01-26 00:00:00,1995-01-26 20:40:00,Earth,18.5649767737,66833.91638525629,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2496816,496816 (1989 UP),1113.8986064209382
1,183.88867207029998,411.1875710413,1995-01-26 00:00:00,1995-01-26 08:00:00,Earth,18.5649764223,66833.9151204118,Near Earth asteroid orbits similar to that of 2062 Aten,3001825,(1989 UP),1113.8985853401966
1,278.3267680719,622.3575733667,1995-01-26 00:00:00,1995-01-26 08:00:00,Earth,36.9271608962,132937.77922643948,Near Earth asteroid orbits similar to that of 1221 Amor,3019640,(1999 JE1),2215.6296537739913
